"year";"survey";"prov";"wat";"hhsize";"popwt";"hhwt";"count";"perc"
2003;"DHS 2003";"Cabo Delgado";"Public Water";2;3281742;1640871;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";3;1189704;396568;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";3;2113368;704456;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";3;2216886;738962;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";3;2503065;834355;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";3;2664039;888013;3;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";3;2758128;919376;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";3;2871399;957133;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";3;3420177;1140059;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";3;3468270;1156090;3;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";3;4795872;1598624;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";3;4922613;1640871;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";3;5812824;1937608;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";3;8862966;2954322;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";3;9764274;3254758;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";4;2418088;604522;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";4;2817824;704456;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";4;2955848;738962;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";4;3552052;888013;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";4;4624360;1156090;3;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";4;6124724;1531181;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";4;6394496;1598624;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";4;6563484;1640871;3;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";4;7750432;1937608;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";4;13019032;3254758;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";5;2931580;586316;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";5;3522280;704456;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";5;4440065;888013;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";5;4596880;919376;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";5;4785665;957133;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";5;5700295;1140059;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";5;7993120;1598624;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";5;8204355;1640871;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";5;14771610;2954322;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";6;6025386;1004231;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";6;9187086;1531181;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";6;9591744;1598624;3;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";6;17725932;2954322;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";6;19528548;3254758;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";7;5172734;738962;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";7;5747749;821107;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";7;6216091;888013;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";7;6435632;919376;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";7;11190368;1598624;4;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";8;12788992;1598624;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";8;13931408;1741426;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";9;6650658;738962;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";9;14387616;1598624;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";10;7044560;704456;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";10;10042310;1004231;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";10;11560900;1156090;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";11;12716990;1156090;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";1;394762;394762;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";1;683464;683464;2;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";1;1070995;1070995;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";1;1162091;1162091;2;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";1;1656163;1656163;1;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";2;257670;128835;3;100
2003;"DHS 2003";"Cabo Delgado";"River/Lake";2;789524;394762;2;100
