Posto_key;POSTOID;key;Provincia_first;Distrito_first;Posto_first;Posto_first.y;water3;N.Surface;P.Surface
Manhica-Sede;100401;Maputo Provincia Manhi.a Manhica-Sede;Maputo Provincia;Manhi.a;Manhica-Sede;Manhica-Sede;Surface water;8;0,1
Mandlakazi-Sede;90901;Gaza Mandlakazi Mandlakazi-Sede;Gaza;Mandlakazi;Mandlakazi-Sede;NA;Surface water;0;0
Mandie;60402;Manica Guro Mandie;Manica;Guro;Mandie;Mandie;Surface water;1106;51,9
Maluana;100404;Maputo Provincia Manhi.a Maluana;Maputo Provincia;Manhi.a;Maluana;Maluana;Surface water;1;0
Malowera;50903;Tete Mar.via Malowera;Tete;Mar.via;Malowera;Malowera;Surface water;2416;37,2
Malingapansi;71103;Sofala Marromeu Malingapansi;Sofala;Marromeu;Malingapansi;Malingapansi;Surface water;11;1,8
Malema/Canhunha;30601;Nampula Malema Malema/Canhunha;Nampula;Malema;Malema/Canhunha;Malema/Canhunha;Surface water;4863;38,1
Malehice;90306;Gaza Chibuto Malehice;Gaza;Chibuto;Malehice;Malehice;Surface water;192;3,1
Malanga;10501;Niassa Majune Malanga;Niassa;Majune;Malanga;Malanga;Surface water;273;8,5
Majaua;41002;Zambezia Milange Majaua;Zambezia;Milange;Majaua;Majaua;Surface water;976;11,8
Maiaca;10802;Niassa Ma.a Maiaca;Niassa;Ma.a;Maiaca;Maiaca;Surface water;518;27,2
Mahel;100304;Maputo Provincia Magude Mahel;Maputo Provincia;Magude;Mahel;Mahel;Surface water;143;43,9
Mahate;21703;Cabo Delgado Quissanga Mahate;Cabo Delgado;Quissanga;Mahate;Mahate;Surface water;273;11,2
Magude-Sede;100301;Maputo Provincia Magude Magude-Sede;Maputo Provincia;Magude;Magude-Sede;Magude-Sede;Surface water;740;17,1
Maganja da Costa-Sede;40901;Zambezia Maganja da Costa Maganja da Costa-Sede;Zambezia;Maganja da Costa;Maganja da Costa-Sede;Maganja da Costa-Sede;Surface water;508;5,5
Mafambisse;70702;Sofala Dondo Mafambisse;Sofala;Dondo;Mafambisse;Mafambisse;Surface water;74;1
Macuse;41402;Zambezia Namacurra Macuse;Zambezia;Namacurra;Macuse;Macuse;Surface water;88;1
Macuane;90206;Gaza Bilene Macuane;Gaza;Bilene;Macuane;Macuane;Surface water;25;3,5
Macuacua;90905;Gaza Mandlakazi Macuacua;Gaza;Mandlakazi;Macuacua;NA;Surface water;0;0
Macossa-Sede;60601;Manica Macossa Macossa-Sede;Manica;Macossa;Macossa-Sede;Macossa-Sede;Surface water;642;36,2
Macone-Sede;31201;Nampula Moma Macone-Sede;Nampula;Moma;Macone-Sede;Macone-Sede;Surface water;405;1,9
Macomia-Sede;20601;Cabo Delgado Macomia Macomia-Sede;Cabo Delgado;Macomia;Macomia-Sede;Macomia-Sede;Surface water;389;8,9
Machubo;100502;Maputo Provincia Marracuene Machubo;Maputo Provincia;Marracuene;Machubo;NA;Surface water;0;0
Machoca;21303;Cabo Delgado Namuno Machoca;Cabo Delgado;Namuno;Machoca;Machoca;Surface water;348;10,6
Machipanda;60702;Manica Manica Machipanda;Manica;Manica;Machipanda;Machipanda;Surface water;95;1,8
Machindo;41801;Zambezia Derre Machindo;Zambezia;Derre;Machindo;Machindo;Surface water;1161;13,1
