Posto_key;POSTOID;key;Provincia_first;Distrito_first;Posto_first;Posto_first.y;water3;N.Surface;P.Surface
Dombe;60902;Manica Sussundenga Dombe;Manica;Sussundenga;Dombe;Dombe;Surface water;2327;42,4
Dôa;51401;Tete Doa Doa;Tete;Doa;Doa;Doa;Surface water;371;7,2
Divinhe;70902;Sofala Machanga Divinhe;Sofala;Machanga;Divinhe;Divinhe;Surface water;248;15,6
Diaca;20902;Cabo Delgado Mocimboa da Praia Diaca;Cabo Delgado;Mocimboa da Praia;Diaca;Diaca;Surface water;335;14,2
Dacata;60803;Manica Mossurize Dacata;Manica;Mossurize;Dacata;Dacata;Surface water;2786;25
Cunle;32102;Nampula Rib.u. Cunle;Nampula;Rib.u.;Cunle;Cunle;Surface water;781;31,3
Cumbana;80702;Inhambane Jangamo Cumbana;Inhambane;Jangamo;Cumbana;Cumbana;Surface water;49;0,9
Covo;31802;Nampula Nacala-A-Velha Covo;Nampula;Nacala-A-Velha;Covo;Covo;Surface water;314;11,4
Corromana;42102;Zambezia Molumbo Corromana;Zambezia;Molumbo;Corromana;Corromana;Surface water;1872;11,9
Corrane;30702;Nampula Meconta Corrane;Nampula;Meconta;Corrane;Corrane;Surface water;374;4,9
Combomune;90802;Gaza Mabalane Combomune;Gaza;Mabalane;Combomune;Combomune;Surface water;437;39,4
Cóbue;10302;Niassa Lago C.bue;Niassa;Lago;C.bue;C.bue;Surface water;1434;55,3
Cidade de Mocuba;41101;Zambezia Mocuba Cidade de Mocuba;Zambezia;Mocuba;Cidade de Mocuba;Cidade de Mocuba;Surface water;2861;13,4
Cidade de Gurue;40501;Zambezia Gurue Cidade de Gurue;Zambezia;Gurue;Cidade de Gurue;Cidade de Gurue;Surface water;1375;7,6
Cidade de Dondo;70701;Sofala Dondo Cidade de Dondo;Sofala;Dondo;Cidade de Dondo;Cidade de Dondo;Surface water;1;0
Cidade de Cuamba;10201;Niassa Cuamba Cidade de Cuamba;Niassa;Cuamba;Cidade de Cuamba;Cidade de Cuamba;Surface water;359;4
