"year";"survey";"prov";"wat4";"sum_pop_weight";"perc"
2008;"MICS 2008";"Maputo Cidade";"Improved";3567,28728583455;98,2505223690124
2008;"MICS 2008";"Maputo Cidade";"Unimproved";63,5201641619205;1,74947763098763
2008;"MICS 2008";"Maputo Provincia";"Improved";3435,20975399017;79,9969980498163
2008;"MICS 2008";"Maputo Provincia";"Surface water";409,017444610596;9,52494026917818
2008;"MICS 2008";"Maputo Provincia";"Unimproved";449,94613006711;10,4780616810056
2008;"MICS 2008";"Nampula";"Improved";5280,22406889871;45,8334945735544
2008;"MICS 2008";"Nampula";"Surface water";1447,61349153519;12,5656002933074
2008;"MICS 2008";"Nampula";"Unimproved";4792,61078858934;41,6009051331382
2008;"MICS 2008";"Niassa";"Improved";1834,06164392829;48,7780916900325
2008;"MICS 2008";"Niassa";"Surface water";892,774706318974;23,7439382844819
2008;"MICS 2008";"Niassa";"Unimproved";1033,17471288145;27,4779700254855
2008;"MICS 2008";"Sofala";"Improved";3334,87171901762;49,5035317057028
2008;"MICS 2008";"Sofala";"Surface water";810,416717201471;12,0299948648797
2008;"MICS 2008";"Sofala";"Unimproved";2591,34550505877;38,4664734294174
2008;"MICS 2008";"Tete";"Improved";2050,65583346412;36,4304502288955
2008;"MICS 2008";"Tete";"Surface water";1561,84882359207;27,7466627526727
2008;"MICS 2008";"Tete";"Unimproved";2016,45633733086;35,8228870184317
2008;"MICS 2008";"Zambezia";"Improved";2756,13440357894;25,73424509519
2008;"MICS 2008";"Zambezia";"Surface water";2650,73278543912;24,7501018432798
2008;"MICS 2008";"Zambezia";"Unimproved";5303,12019698881;49,5156530615302
2009;"AIS 2009";"Cabo Delgado";"Improved";749627347;35,2105756050888
2009;"AIS 2009";"Cabo Delgado";"Surface water";266786586;12,5311720475114
2009;"AIS 2009";"Cabo Delgado";"Unimproved";1112569573;52,2582523473998
2009;"AIS 2009";"Gaza";"Improved";686299703;47,1873327697615
2009;"AIS 2009";"Gaza";"Surface water";85651149;5,88904417750481
2009;"AIS 2009";"Gaza";"Unimproved";682464269;46,9236230527336
2009;"AIS 2009";"Inhambane";"Improved";898547590;55,711626098241
2009;"AIS 2009";"Inhambane";"Surface water";44210272;2,74111930272445
2009;"AIS 2009";"Inhambane";"Unimproved";670096856;41,5472545990345
2009;"AIS 2009";"Manica";"Improved";404532706;25,4519598565991
2009;"AIS 2009";"Manica";"Surface water";423061840;26,6177562625529
2009;"AIS 2009";"Manica";"Unimproved";761802531;47,930283880848
2009;"AIS 2009";"Maputo Cidade";"Improved";1257442692;99,0064381439394
2009;"AIS 2009";"Maputo Cidade";"Unimproved";12618847;0,993561856060583
2009;"AIS 2009";"Maputo Provincia";"Improved";1053371511;70,0634564740242
2009;"AIS 2009";"Maputo Provincia";"Surface water";16861625;1,12152618229374
2009;"AIS 2009";"Maputo Provincia";"Unimproved";433220396;28,815017343682
2009;"AIS 2009";"Nampula";"Improved";2550182453;46,0950781898639
2009;"AIS 2009";"Nampula";"Surface water";486796323;8,7989447754322
2009;"AIS 2009";"Nampula";"Unimproved";2495461027;45,1059770347039
2009;"AIS 2009";"Niassa";"Improved";961384918;65,6536660168274
2009;"AIS 2009";"Niassa";"Surface water";113850073;7,77490319307612
2009;"AIS 2009";"Niassa";"Unimproved";389092862;26,5714307900964
2009;"AIS 2009";"Sofala";"Improved";1322025513;65,0485021991648
2009;"AIS 2009";"Sofala";"Surface water";78838635;3,87914988912672
2009;"AIS 2009";"Sofala";"Unimproved";631504728;31,0723479117085
2009;"AIS 2009";"Tete";"Improved";887594653;41,4679109308833
2009;"AIS 2009";"Tete";"Surface water";589526318;27,5423300079699
2009;"AIS 2009";"Tete";"Unimproved";663316377;30,9897590611468
2009;"AIS 2009";"Zambezia";"Improved";927511574;17,7546220723823
2009;"AIS 2009";"Zambezia";"Surface water";504295339;9,65332768646282
2009;"AIS 2009";"Zambezia";"Unimproved";3792250069;72,5920502411549
2009;"IOF 2008-2009";"Cabo Delgado";"Improved";1404970,6258316;84,256540727764
2009;"IOF 2008-2009";"Cabo Delgado";"Surface water";258158,155548096;15,4818276960544
2009;"IOF 2008-2009";"Cabo Delgado";"Unimproved";4362,68420410156;0,26163157618166
2009;"IOF 2008-2009";"Gaza";"Improved";1121865,95077515;85,8536886097957
2009;"IOF 2008-2009";"Gaza";"Surface water";167232,304107666;12,7978838759105
2009;"IOF 2008-2009";"Gaza";"Unimproved";17620,1505126953;1,34842751429388
2009;"IOF 2008-2009";"Inhambane";"Improved";1181527,05199432;90,3335413619127
2009;"IOF 2008-2009";"Inhambane";"Surface water";94770,4032592773;7,24566240633837
2009;"IOF 2008-2009";"Inhambane";"Unimproved";31663,0588378906;2,42079623174892
2009;"IOF 2008-2009";"Manica";"Improved";1111389,43997192;73,8669920924921
2009;"IOF 2008-2009";"Manica";"Surface water";393192,523485184;26,1330079075079
2009;"IOF 2008-2009";"Maputo Cidade";"Improved";1117031,33440018;99,578436523114
2009;"IOF 2008-2009";"Maputo Cidade";"Unimproved";4728,93157958984;0,421563476885991
2009;"IOF 2008-2009";"Maputo Provincia";"Improved";1027436,08526802;78,432654765027
