year;survey;ru;wat;sum_pop_weight;perc
2015;IOF 2014-2015;rural;<c1>Gua Do Po<c7>O Com Bomba Manual;2210329,44;12,79901601
2015;IOF 2014-2015;rural;<c1>Gua Do Po<c7>O N<c3>O Protegido;5687000,978;32,93084517
2015;IOF 2014-2015;rural;<c1>Gua Do Po<c7>O Protegido Sem Bomba;1056156,731;6,115724955
2015;IOF 2014-2015;rural;<c1>Gua Do Rio, Lago, Lagoa;3259365,717;18,87350964
2015;IOF 2014-2015;rural;<c1>Gua Em Garrafa;5180,853577;0,029999975
2015;IOF 2014-2015;rural;Outro;26723,14606;0,154741627
2015;IOF 2014-2015;urbano;<c1>Gua Canalizada Dentro  Da Casa;476284,3653;5,971361688
2015;IOF 2014-2015;urbano;<c1>Gua Canalizada Na Casa Do Vizinho;1497205,733;18,77104857
2015;IOF 2014-2015;urbano;<c1>Gua Canalizada No Quintal;3152196,41;39,52030813
2015;IOF 2014-2015;urbano;<c1>Gua Da Chuva;11886,21037;0,149022026
2015;IOF 2014-2015;urbano;<c1>Gua Da Cisterna (Ou Tanque M<d3>Vel Ou Cami<c3>O);35246,43274;0,441898188
2015;IOF 2014-2015;urbano;<c1>Gua De Nascentes N<c3>O Protegidas;12636,19424;0,158424865
2015;IOF 2014-2015;urbano;<c1>Gua De Nascentes Protegidas;1046,635254;0,013122072
2015;IOF 2014-2015;urbano;<c1>Gua Do  Furo;358717,8716;4,49738499
2015;IOF 2014-2015;urbano;<c1>Gua Do Fontan<c1>Rio;865087,4143;10,84593621
2015;IOF 2014-2015;urbano;<c1>Gua Do Po<c7>O Com Bomba Manual;274582,9296;3,442552612
2015;IOF 2014-2015;urbano;<c1>Gua Do Po<c7>O N<c3>O Protegido;673152,8801;8,439578562
2015;IOF 2014-2015;urbano;<c1>Gua Do Po<c7>O Protegido Sem Bomba;361870,9196;4,536915974
2015;IOF 2014-2015;urbano;<c1>Gua Do Rio, Lago, Lagoa;233820,4827;2,931498016
2015;IOF 2014-2015;urbano;<c1>Gua Em Garrafa;21609,01094;0,270920545
2015;IOF 2014-2015;urbano;Outro;799,8125;0,010027559
