"year";"survey";"prov";"ru";"wat4";"sum_pop_weight";"perc"
2003;"IOF 2002-2003";"Sofala";"rural";"Unimproved";359706,639728546;39,1
2003;"IOF 2002-2003";"Sofala";"urbano";"Improved";407723,037193298;66,6
2003;"IOF 2002-2003";"Sofala";"urbano";"Unimproved";204163,220275879;33,4
2003;"IOF 2002-2003";"Tete";"rural";"Improved";425091,076904297;35,7
2003;"IOF 2002-2003";"Tete";"rural";"Surface water";328485,540893555;27,6
2003;"IOF 2002-2003";"Tete";"rural";"Unimproved";437899,913391113;36,8
2003;"IOF 2002-2003";"Tete";"urbano";"Improved";160340,427947998;75,4
2003;"IOF 2002-2003";"Tete";"urbano";"Surface water";44576,9973449707;21
2003;"IOF 2002-2003";"Tete";"urbano";"Unimproved";7615,12971496582;3,6
2003;"IOF 2002-2003";"Zambezia";"rural";"Improved";340035,822387695;10,9
2003;"IOF 2002-2003";"Zambezia";"rural";"Surface water";602351,957458496;19,3
2003;"IOF 2002-2003";"Zambezia";"rural";"Unimproved";2174487,54882812;69,8
2003;"IOF 2002-2003";"Zambezia";"urbano";"Improved";252914,345611572;66,8
2003;"IOF 2002-2003";"Zambezia";"urbano";"Surface water";4788,07421875;1,3
2003;"IOF 2002-2003";"Zambezia";"urbano";"Unimproved";121135,00567627;32
2008;"MICS 2008";"Cabo Delgado";"rural";"Improved";1462,90883845091;28
2008;"MICS 2008";"Cabo Delgado";"rural";"Surface water";987,027740597725;18,9
2008;"MICS 2008";"Cabo Delgado";"rural";"Unimproved";2767,63116055727;53
2008;"MICS 2008";"Cabo Delgado";"urbano";"Improved";481,766401290894;38,4
2008;"MICS 2008";"Cabo Delgado";"urbano";"Surface water";63,204004406929;5
2008;"MICS 2008";"Cabo Delgado";"urbano";"Unimproved";710,556060135365;56,6
2008;"MICS 2008";"Gaza";"rural";"Improved";1476,9917357564;51
2008;"MICS 2008";"Gaza";"rural";"Surface water";488,847406715155;16,9
2008;"MICS 2008";"Gaza";"rural";"Unimproved";929,117969796062;32,1
2008;"MICS 2008";"Gaza";"urbano";"Improved";1117,10512831807;82,1
2008;"MICS 2008";"Gaza";"urbano";"Surface water";13,4683279395103;1
2008;"MICS 2008";"Gaza";"urbano";"Unimproved";229,683451592922;16,9
2008;"MICS 2008";"Inhambane";"rural";"Improved";915,26828995347;30,4
2008;"MICS 2008";"Inhambane";"rural";"Surface water";147,116944789886;4,9
2008;"MICS 2008";"Inhambane";"rural";"Unimproved";1943,73380324244;64,7
2008;"MICS 2008";"Inhambane";"urbano";"Improved";661,404378831387;54,3
2008;"MICS 2008";"Inhambane";"urbano";"Surface water";43,9268851876259;3,6
2008;"MICS 2008";"Inhambane";"urbano";"Unimproved";512,016394138336;42,1
2008;"MICS 2008";"Manica";"rural";"Improved";611,87686849013;26,5
2008;"MICS 2008";"Manica";"rural";"Surface water";742,397579167038;32,2
2008;"MICS 2008";"Manica";"rural";"Unimproved";950,900814242661;41,3
2008;"MICS 2008";"Manica";"urbano";"Improved";338,145606577396;51,3
2008;"MICS 2008";"Manica";"urbano";"Surface water";11,4123987555504;1,7
2008;"MICS 2008";"Manica";"urbano";"Unimproved";309,867756962776;47
2008;"MICS 2008";"Maputo Cidade";"urbano";"Improved";3426,62672817707;94,4
2008;"MICS 2008";"Maputo Cidade";"urbano";"Unimproved";204,180721819401;5,6
2008;"MICS 2008";"Maputo Provincia";"rural";"Improved";532,511602938175;35,4
2008;"MICS 2008";"Maputo Provincia";"rural";"Surface water";387,472870111465;25,8
2008;"MICS 2008";"Maputo Provincia";"rural";"Unimproved";583,216015309095;38,8
2008;"MICS 2008";"Maputo Provincia";"urbano";"Improved";2373,90112534165;85,1
2008;"MICS 2008";"Maputo Provincia";"urbano";"Surface water";21,5445744991302;0,8
2008;"MICS 2008";"Maputo Provincia";"urbano";"Unimproved";395,527140468359;14,2
2008;"MICS 2008";"Nampula";"rural";"Improved";2602,42666465417;34,3
2008;"MICS 2008";"Nampula";"rural";"Surface water";1158,67334413528;15,3
2008;"MICS 2008";"Nampula";"rural";"Unimproved";3823,54471421801;50,4
2008;"MICS 2008";"Nampula";"urbano";"Improved";2361,11693133414;60
2008;"MICS 2008";"Nampula";"urbano";"Surface water";288,940147399902;7,3
2008;"MICS 2008";"Nampula";"urbano";"Unimproved";1285,74654728174;32,7
2008;"MICS 2008";"Niassa";"rural";"Improved";1253,05418846011;44,2
2008;"MICS 2008";"Niassa";"rural";"Surface water";839,193218559027;29,6
2008;"MICS 2008";"Niassa";"rural";"Unimproved";740,302425265312;26,1
2008;"MICS 2008";"Niassa";"urbano";"Improved";404,608906194568;43,6
2008;"MICS 2008";"Niassa";"urbano";"Surface water";53,5814877599478;5,8
2008;"MICS 2008";"Niassa";"urbano";"Unimproved";469,270836889744;50,6
2008;"MICS 2008";"Sofala";"rural";"Improved";1082,55272167921;27,9
2008;"MICS 2008";"Sofala";"rural";"Surface water";772,382280826569;19,9
2008;"MICS 2008";"Sofala";"rural";"Unimproved";2028,6060885191;52,2
2008;"MICS 2008";"Sofala";"urbano";"Improved";2152,02750141919;75,4
2008;"MICS 2008";"Sofala";"urbano";"Surface water";38,0344363749027;1,3
2008;"MICS 2008";"Sofala";"urbano";"Unimproved";663,030912458897;23,2
2008;"MICS 2008";"Tete";"rural";"Improved";1394,53899252042;28,1
2008;"MICS 2008";"Tete";"rural";"Surface water";1535,99528126419;31
2008;"MICS 2008";"Tete";"rural";"Unimproved";2030,38927560858;40,9
2008;"MICS 2008";"Tete";"urbano";"Improved";533,900759682059;79,9
2008;"MICS 2008";"Tete";"urbano";"Surface water";25,8535423278809;3,9
2008;"MICS 2008";"Tete";"urbano";"Unimproved";108,283142983913;16,2
2008;"MICS 2008";"Zambezia";"rural";"Improved";1684,03484962508;18,6
2008;"MICS 2008";"Zambezia";"rural";"Surface water";2618,62442084588;28,9
2008;"MICS 2008";"Zambezia";"rural";"Unimproved";4756,55724702217;52,5
2008;"MICS 2008";"Zambezia";"urbano";"Improved";857,027102768421;51,9
2008;"MICS 2008";"Zambezia";"urbano";"Surface water";32,1083645932376;1,9
2008;"MICS 2008";"Zambezia";"urbano";"Unimproved";761,635401152074;46,1
2009;"AIS 2009";"Cabo Delgado";"rural";"Improved";589225696;35,6
2009;"AIS 2009";"Cabo Delgado";"rural";"Surface water";237579874;14,3
2009;"AIS 2009";"Cabo Delgado";"rural";"Unimproved";829981515;50,1
2009;"AIS 2009";"Cabo Delgado";"urbano";"Improved";160401651;34
2009;"AIS 2009";"Cabo Delgado";"urbano";"Surface water";29206712;6,2
2009;"AIS 2009";"Cabo Delgado";"urbano";"Unimproved";282588058;59,8
2009;"AIS 2009";"Gaza";"rural";"Improved";383931841;36,6
2009;"AIS 2009";"Gaza";"rural";"Surface water";80069412;7,6
2009;"AIS 2009";"Gaza";"rural";"Unimproved";585014168;55,8
2009;"AIS 2009";"Gaza";"urbano";"Improved";302367862;74,6
2009;"AIS 2009";"Gaza";"urbano";"Surface water";5581737;1,4
2009;"AIS 2009";"Gaza";"urbano";"Unimproved";97450101;24
2009;"AIS 2009";"Inhambane";"rural";"Improved";617613297;51
2009;"AIS 2009";"Inhambane";"rural";"Surface water";42192202;3,5
2009;"AIS 2009";"Inhambane";"rural";"Unimproved";551396647;45,5
2009;"AIS 2009";"Inhambane";"urbano";"Improved";280934293;69,9
2009;"AIS 2009";"Inhambane";"urbano";"Surface water";2018070;0,5
2009;"AIS 2009";"Inhambane";"urbano";"Unimproved";118700209;29,6
2009;"AIS 2009";"Manica";"rural";"Improved";230831730;19,1
2009;"AIS 2009";"Manica";"rural";"Surface water";423061840;35
2009;"AIS 2009";"Manica";"rural";"Unimproved";553615398;45,8
2009;"AIS 2009";"Manica";"urbano";"Improved";173700976;45,5
2009;"AIS 2009";"Manica";"urbano";"Unimproved";208187133;54,5
2009;"AIS 2009";"Maputo Cidade";"urbano";"Improved";1257442692;99
2009;"AIS 2009";"Maputo Cidade";"urbano";"Unimproved";12618847;1
2009;"AIS 2009";"Maputo Provincia";"rural";"Improved";97345489;21,7
2009;"AIS 2009";"Maputo Provincia";"rural";"Surface water";16861625;3,8
2009;"AIS 2009";"Maputo Provincia";"rural";"Unimproved";334270460;74,5
2009;"AIS 2009";"Maputo Provincia";"urbano";"Improved";956026022;90,6
2009;"AIS 2009";"Maputo Provincia";"urbano";"Unimproved";98949936;9,4
2009;"AIS 2009";"Nampula";"rural";"Improved";1436801491;36,1
2009;"AIS 2009";"Nampula";"rural";"Surface water";407636824;10,3
2009;"AIS 2009";"Nampula";"rural";"Unimproved";2132469096;53,6
2009;"AIS 2009";"Nampula";"urbano";"Improved";1113380962;71,6
2009;"AIS 2009";"Nampula";"urbano";"Surface water";79159499;5,1
2009;"AIS 2009";"Nampula";"urbano";"Unimproved";362991931;23,3
2009;"AIS 2009";"Niassa";"rural";"Improved";822064326;72,5
2009;"AIS 2009";"Niassa";"rural";"Surface water";109868897;9,7
2009;"AIS 2009";"Niassa";"rural";"Unimproved";201845257;17,8
2009;"AIS 2009";"Niassa";"urbano";"Improved";139320592;42,1
2009;"AIS 2009";"Niassa";"urbano";"Surface water";3981176;1,2
2009;"AIS 2009";"Niassa";"urbano";"Unimproved";187247605;56,6
2009;"AIS 2009";"Sofala";"rural";"Improved";701754998;57,1
2009;"AIS 2009";"Sofala";"rural";"Surface water";50449827;4,1
2009;"AIS 2009";"Sofala";"rural";"Unimproved";477382293;38,8
2009;"AIS 2009";"Sofala";"urbano";"Improved";620270515;77,3
2009;"AIS 2009";"Sofala";"urbano";"Surface water";28388808;3,5
2009;"AIS 2009";"Sofala";"urbano";"Unimproved";154122435;19,2
2009;"AIS 2009";"Tete";"rural";"Improved";674443915;37,3
2009;"AIS 2009";"Tete";"rural";"Surface water";507460414;28
2009;"AIS 2009";"Tete";"rural";"Unimproved";627724830;34,7
2009;"AIS 2009";"Tete";"urbano";"Improved";213150738;64,4
2009;"AIS 2009";"Tete";"urbano";"Surface water";82065904;24,8
2009;"AIS 2009";"Tete";"urbano";"Unimproved";35591547;10,8
2009;"AIS 2009";"Zambezia";"rural";"Improved";609090603;13,6
2009;"AIS 2009";"Zambezia";"rural";"Surface water";436113784;9,7
2009;"AIS 2009";"Zambezia";"rural";"Unimproved";3433429662;76,7
2009;"AIS 2009";"Zambezia";"urbano";"Improved";318420971;42,7
2009;"AIS 2009";"Zambezia";"urbano";"Surface water";68181555;9,1
2009;"AIS 2009";"Zambezia";"urbano";"Unimproved";358820407;48,1
2009;"IOF 2008-2009";"Cabo Delgado";"rural";"Improved";471587,105308533;36,1
2009;"IOF 2008-2009";"Cabo Delgado";"rural";"Surface water";242057,767730713;18,5
2009;"IOF 2008-2009";"Cabo Delgado";"rural";"Unimproved";594359,361129761;45,4
2009;"IOF 2008-2009";"Cabo Delgado";"urbano";"Improved";146719,148895264;40,8
2009;"IOF 2008-2009";"Cabo Delgado";"urbano";"Surface water";16100,3878173828;4,5
2009;"IOF 2008-2009";"Cabo Delgado";"urbano";"Unimproved";196667,694702148;54,7
2009;"IOF 2008-2009";"Gaza";"rural";"Improved";452811,195556641;46,1
2009;"IOF 2008-2009";"Gaza";"rural";"Surface water";129099,749740601;13,1
2009;"IOF 2008-2009";"Gaza";"rural";"Unimproved";400624,567474365;40,8
2009;"IOF 2008-2009";"Gaza";"urbano";"Improved";233249,180519104;71,9
2009;"IOF 2008-2009";"Gaza";"urbano";"Surface water";38132,5543670654;11,8
2009;"IOF 2008-2009";"Gaza";"urbano";"Unimproved";52801,1577377319;16,3
2009;"IOF 2008-2009";"Inhambane";"rural";"Improved";411131,333023071;39,9
